Arrache donc les jeunes herbes,A 'iriti na i te mau tumutumu 'aihere,,
Arrange bien ta coiffure,A nape maita'i i tō'oe rouru,,
"Asseyons-nous ici, c'est en effet un endroit où il fait bon !","E pārahi tāua i 'ō nei, e vāhi haumārū ho'i teie !",,
Ata a été attaqué par les chiens,Ua apuhia 'o Ata e te 'ūrī,,
Attache le petit cochon pour l'empêcher de fouir le jardin !,A tā'amu i te fanau'a pua'a 'ia 'ore 'ia 'etu'etu i te fa'a'apu tiare !,,
Attache mon hameçon au leurre,A tā'ere'ā na 'oe i tā'u matau,,
Attache soigneusement le fer du harpon,A nape maita'i i te 'āuri pātia i'a,,
"Attendez-moi, ce ne sera pas long","Tīa'i mai, e'ita e maoro",Eiaha 'oia e inu i te uaina 'e te 'ava ta'eo , 'eiaha 'oia e inu i te vinega uaina i te vinega 'ava ta'eo
attends que la mer se calme pour accoster.,e tīa'i 'oe 'ia tōhuhe te miti 'ei reira e tāpae ai,,
"Attention, va doucement","Ha'apa'o maita'i, haere mārie",,
"Au moment même où il aperçut sa maman, il courut vers elle","I te taime iho 'a 'ite ai 'oia i tōna māmā, 'ua horo atura 'oia iāna ra",,
"Aujourd'hui, la mer est agitée, je ne partirai pas","E mea mitimiti roa teie mahana, e'ita vau e reva",,
"Avant d'interdire totalement les porcs, commençons par restreindre les espaces où ils auront libre accès","I mua a'e rā i te 'ōpani-roa-ra'a i te mau pua'a ato'a, e mata na tātou i te fa'a'ōpiripiri ri'i i te vāhi e haere-noa-hia e rātou nei",,
"Avant même le deuxième chant du coq, tu m'auras renié trois fois","E 'ore e tae i te piti o te 'ā'aoara'a moa, e ta'itoru ai ō 'oe hunara'a iā'u",,
"Beaucoup ont essayé, un seul a réussi","E rave rahi tei tāmata, hō'ē noa i manuia",,
C'est au rouleau que notre maison a été peinte,E mea rūrōhia te pēnira'a i tō mātou fare,,
c'est avec un pagne qu'elle a pēché ses chevrettes.,e mea tātautau tāna 'ōura i te noa'ara'a mai,,
C'est bien lui qui a pris ton livre,Nāna iho ā i rave i tā 'oe puta,,
C'est bien lui qui me l'a dit,Nāna iho ā i parau mai,,
C'est cet engrais qui a fait produire notre oranger,Nā teie porifenua i fa'ahotu i tā mātou tumu 'ānani,,
C'était son habitude,E peu mātauhia e ana te reira,,
Ce bateau n'a pas de passager,Aita a terā pahī e horopātete,,
Ce bébé est musclé,Ua 'eta'eta terā 'aiū,,
Ce cheval est à lui,Nāna teie pua'ahorofenua,,
Ce chien a mangé des oeufs pourris,E huero moa pē tā teie 'ūri i 'amu,,
ce chien doit être muselé.,ia tā'utuhia teie 'ūrī e ti'a ai,,
"Ce coloccasia est urticant, jette-le","E 'ape ma'ero tenā, fa'aru'e",,
Ce fut par un pays aride et rempli de fondrières (ier. 2/6).,I nā roto i te fenua pāpāmarō 'e te orovaru,,
"Ce fut une maladie très rapide, il est tombé malade lundi et il est mort mercredi","E ma'i vavevave rahi, i te monirē te tupura'a mai 'e i te Wuenite ra te matera'a",,
Ce garçon a trois épis dans les cheveux,E toru nini tō taua tamaiti ra,,
"Ce jour-là, Teri'iero'o a prononcé un discours","I te reira mahana, 'ua 'ōrero mai 'o Teri'iero'o",,
Ce matin je me suis levé tard,"I teie nei po'ipo'i, 'ua ta'oto maoro vau",,
Ce médicament n'a plus d'effet sur lui,Ua mātere tōna tino i terā rā'au,,
"Ce navire est pourri, il faut le désarmer","Ua pē roa terā pahī, 'ia tā'amuhia e ti'a ai",,
"Ce ne sont que des menaces, elles ne seront pas mises à exécution","E parau ha'amāta'uta'u, e'ita e tupu",,
Ce pays dont vous allez prendre possession pour y habiter,O teie nei fenua tā 'outou e ti'i nō 'outou 'ei pārahira'a,,
"ce pays que nous avons inspecté, est un pays dont les habitants sont dévorés par la mort (num. 13/32).","taua fenua i hi'o-haere-hia e mātou nei, e fenua rā tē pā'o'o ra tō reira ta'ata i te pohe",,
Ce porc cherche toujours à fouir le sol,E pua'a 'etu roa terā,,
ce porc n'est pas assez cuit.,e mea otaota teie pua'a,,
Ce que tu dis est très clair,E parau māramarama roa tenā,,
Ce signe indique qu'il y a bientôt une route à forte déclivité,"E tāpa'o fa'aara teie ē, e purūmu 'auti'a tō mua",,
"Ce sont des bananes tachetées, elles conviennent pour faire du po'e","E mei'a matamata teie, e tano nō te po'e",,
Ce sont des cacahuètes qui craquent dans sa main,E 'aratita terā e ma'u'u ra i roto i tōna rima,,
Ce sont des enfants difficiles (qui créent des difficultés),E mau tamari'i fifi roa tenā,,
ce sont des triplets.,e tamari'i fānau pūtoru,,
Ce sont deux jumeaux,E maeha'a rāua,,
Ce sont là des idées de quelqu'un qui manque d'expérience,E mana'o ri'i pī ana'e tenā,,
ce sont les cordelettes nombreuses pour attacher le soleil aux nombreux rayons (ha'avī 'opu n° 8).,o te 'aha tuārau 'ei herehere a'e i te rā tuānui,,
Ce sont les femmes qui étaleront les nattes,Nā te mau vahine e fa'ahōhora i te pē'ue,,
Ce sont les relations sexuelles hors mariage qui répandent les maladies vénériennes,Nā te mau 'atira'a i rāpae i te fa'aipoipora'a e ha'aparare atu i te mau ma'i purūmu,,
Ce sont les vaches qui ont troublé l'eau,Nā te pua'atoro i fa'areru i te pape,,
Ce temple appartient aux mormons,Nā te mōmoni teie fare purera'a,,
